titre,auteur,localisation,code barre,cote,nombre de prets
Alternatives économiques,[dir. publ. Denis Clerc],PREEP,3295500854085,Per B93,0
Avantages,[dir. publ. Evelyne Prouvost-Berry],PREEP,3295500822618,Per B97,1
Avantages,[dir. publ. Evelyne Prouvost-Berry],PREEP,3295500852569,Per B97,
Avantages,[dir. publ. Evelyne Prouvost-Berry],PREEP,3295500853264,Per B97,4
Avantages,[dir. publ. Evelyne Prouvost-Berry],PREEP,3295500851166,Per B97,
DBD,[dir. publ. Frédéric Bosser],PREEP,3295500851943,Per C 45,0
DBD,[dir. publ. Frédéric Bosser],JEUM1PERIOS,3295500852920,Per C 45,0
Paris match,,PREEP,3295500855933,Per C10,1
Paris match,,PREEP,3295500854155,Per C10,2
Paris match,,PREEP,3295500854526,Per C10,2
Paris match,,PREEP,3295500854124,Per C10,4
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500852622,Per C5,2
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500851960,Per C5,0
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500852910,Per C5,1
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500854274,Per C5,1
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500851918,Per C5,3
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500855197,Per C5,1
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500852930,Per C5,3
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500854210,Per C5,0
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500851928,Per C5,2
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500854094,Per C5,0
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500854528,Per C5,1
Courrier international,[dir. publ. Philippe Thureau-Dangin],PREEP,3295500855066,Per C5,1
Figaro-Magazine,,PREEP,3295500854290,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500853225,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500855186,Per D 5 bis,0
Figaro-Magazine,,PREEP,3295500854517,Per D 5 bis,0
Figaro-Magazine,,PREEP,3295500854159,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500853102,Per D 5 bis,0
Figaro-Magazine,,PREEP,3295500853255,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500856713,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500851937,Per D 5 bis,0
Figaro-Magazine,,PREEP,3295500853557,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500854403,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500851475,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500854397,Per D 5 bis,0
Figaro-Magazine,,PREEP,3295500852604,Per D 5 bis,0
Figaro-Magazine,,PREEP,3295500854081,Per D 5 bis,
Figaro-Magazine,,PREEP,3295500853253,Per D 5 bis,0
Figaro-Magazine,,PREEP,3295500854536,Per D 5 bis,1
Figaro-Magazine,,PREEP,3295500855061,Per D 5 bis,1
Figaro-Magazine,,PREEP,3295500856571,Per D 5 bis,
Madame Figaro,,PREEP,3295500854291,Per D 5 ter,
Madame Figaro,,PREEP,3295500853224,Per D 5 ter,1
Madame Figaro,,PREEP,3295500855187,Per D 5 ter,
Madame Figaro,,PREEP,3295500854516,Per D 5 ter,2
Madame Figaro,,PREEP,3295500854158,Per D 5 ter,
Madame Figaro,,PREEP,3295500854433,Per D 5 ter,2
Madame Figaro,,PREEP,3295500854188,Per D 5 ter,
Madame Figaro,,PREEP,3295500856223,Per D 5 ter,
Madame Figaro,,PREEP,3295500852895,Per D 5 ter,
Madame Figaro,,PREEP,3295500852905,Per D 5 ter,
Madame Figaro,,PREEP,3295500856431,Per D 5 ter,1
Madame Figaro,,PREEP,3295500854208,Per D 5 ter,1
Madame Figaro,,PREEP,3295500854207,Per D 5 ter,
Madame Figaro,,PREEP,3295500851938,Per D 5 ter,1
Madame Figaro,,PREEP,3295500853259,Per D 5 ter,1
Madame Figaro,,PREEP,3295500852153,Per D 5 ter,1
Madame Figaro,,PREEP,3295500854404,Per D 5 ter,
Madame Figaro,,PREEP,3295500853558,Per D 5 ter,
Madame Figaro,,PREEP,3295500856444,Per D 5 ter,
Madame Figaro,,PREEP,3295500852923,Per D 5 ter,1
Madame Figaro,,PREEP,3295500851921,Per D 5 ter,0
Madame Figaro,,PREEP,3295500852598,Per D 5 ter,1
Madame Figaro,,PREEP,3295500854080,Per D 5 ter,
Madame Figaro,,PREEP,3295500854537,Per D 5 ter,
Madame Figaro,,PREEP,3295500853245,Per D 5 ter,0
Madame Figaro,,PREEP,3295500855060,Per D 5 ter,1
Madame Figaro,,PREEP,3295500856461,Per D 5 ter,
KR home studio,[directeur de la publication et rédacteur en chef Thierry Demougin],MUSPER,3295500854530,Per M 1526,0
Otaku Manga,[directeur de la publication Christophe Coquis],JEUM1PERIOS,3295500855887,Per Z 126,0
Quelle histoire mag,[président et directeur de la publication Emmanuel Mounier],PERIOS,110810602,PJ,
Quelle histoire mag,[président et directeur de la publication Emmanuel Mounier],PERIOS,111970602,PJ,
Quelle histoire mag,[président et directeur de la publication Emmanuel Mounier],PERIOS,112700602,PJ,
Quelle histoire mag,[président et directeur de la publication Emmanuel Mounier],PERIOS,113840602,PJ,
Mes Premières Belles Histoires - Tralalire,Pascal Ruffenach,GLAPJ,1724485012912,PJ,3
Science & Vie découvertes,,GLAPJ,1702785012917,PJ,0
Phosphore,[dir. publ. Jean Gélamur],GLAPJ,1724525012919,PJ,1
Phosphore,[dir. publ. Jean Gélamur],GLAPJ,1697585012918,PJ,0
I love english world / Today in english,,GLAPJ,1726325012915,PJ,1
Quelle histoire mag,[président et directeur de la publication Emmanuel Mounier],PERIOS,117680602,PJ,
Wapiti,,PERIOS,117730602,PJ,0
Astrapi,,PERIOS,117740602,PJ,0
Mes Premières Belles Histoires - Tralalire,Pascal Ruffenach,PERIOS,106250602,PJ,
Mes Premières Belles Histoires - Tralalire,Pascal Ruffenach,PERIOS,107670602,PJ,
Mes Premières Belles Histoires - Tralalire,Pascal Ruffenach,GLAPJ,1696915012918,PJ,0
Science & Vie découvertes,,GLAPJ,1724275012917,PJ,2
Wapiti,,GLAPJ,1702915012916,PJ,0
Sorcières,,GLAPJ,1703705012918,PJ,0
Les Belles histoires,,PERIOS,117300602,PJ,2
Mes Premières Belles Histoires - Tralalire,Pascal Ruffenach,GLAPJ,,PJ,0
Sorcières,,GLAPJ,1702875012919,PJ,0
Mes Premières Belles Histoires - Tralalire,Pascal Ruffenach,GLAPJ,1695615012914,PJ,1
Phosphore,[dir. publ. Jean Gélamur],GLAPJ,1701155012915,PJ,0
Plum,Hoshino Natsumi,BANDEDESSINEE,117890602,PLU 6,3
Grande aventure ! (La) pokémon,Mato (Auteur Principal),MANGA,38590602,POK 4,18
Guerrière,Cécile Alix,JEUM1ROMANSADOS,3295500855790,R ALI,2
Veiller sur elle,Jean-Baptiste Andrea,JUNROMANSADULTE,118480602,R AND,2
Ma reine,Jean-Baptiste Andrea,ADU1S,3295500568690,R AND,0
Les silences des pères [Texte imprimé],Rachid Benzine,JUNROMANSADULTE,118400602,R BEN,2
Valentine ou La belle saison,Anne-Laure Bondoux,ADU1S,3295500568253,R BON,1
Le vrai prince Thibault,E. Brisou-Pellen,ARQ,32955001317384,R BRI,31
Les mangeurs de nuit,Marie Charrel,JUNROMANSADULTE,118450602,R CHA,1
Lorsque le dernier arbre,Michael Christie,ADU1S,3295500568683,R CHR,0
Manuel d'exil,Velibor Colic,JUNROMANSADULTE,35097116068565,R COL m,0
La belle et la clocharde,Yann Coridian,JEUM1ROMANS912,3295500855865,R COR,1
Naufrage,,GLAFA,1697415012910,R DEL,2
Les derniers jours de nos pères,"Joël Dicker, aut.",ADU1S,3295500567980,R DIC,4
Après l'incendie | suivi de Trois lamentations,Robert Goolrick,ADU1S,3295500568257,R GOO,1
La bibliothèque de Minuit,Matt Haig,ADU1S,3295500568254,R HAI,2
Le jardin des chimères,Johan Héliot,JEUM1ROMANSADOS,3295500853331,R HEL,3
L'expérience des fantômes,Patrice Humbert,JUNROMANSADULTE,115390602,R HUM,2
Eole roi,Nicolas Jolivot,JEUM1ROMANSADOS,3295500854227,R JOL,1
Le café du temps retrouvé,Toshikazu Kawaguchi,ADU1S,3295500568688,R KAW,0
La poursuite du bonheur,Douglas Kennedy,ADU1S,3295500568251,R KEN,1
L'insoutenable légèreté de l'être,"Milan Kundera, aut.",LIVRESAECOUTER,35097114087997,R KUN i,0
Histoire du fils,Marie-Hélène Lafon,JUNROMANSADULTE,35097120073676,R LAF h,1
Les gens de Bilbao naissent où ils veulent,Maria Larrea,ADU1S,3295500568636,R LAR,0
Les amies,,ADU1S,3295500851431,R LEBL,8
Performance,Simon Liberati,ADU1S,3295500568637,R LIB,0
Périple d'un cachalot,Pierre Magnan,SEM,32955000464617,R MAG,48
L'été où tout a fondu,Tiffany McDaniel,ADU1S,3295500568686,R MCD,0
Anne de Redmond,Lucy Maud Montgomery,JEUM1ROMANSADOS,3295500856003,R MON 3,1
Anne de Windy Willows,Lucy Maud Montgomery,JEUM1ROMANSADOS,3295500855981,R MON 4,1
Le bureau d'éclaircissement des destins,Nohant Gaëlle,ADU1S,3295500851412,R NOHA,6
Le chant des déesses,,JUNROMANSADULTE,115440602,R NOR,1
Psychopompe,Amélie Nothomb,JUNROMANSADULTE,118440602,R NOT,2
Psychopompe,Amélie Nothomb,ADU1S,3295500568689,R NOT,0
Les enfants endormis,"Anthony Passeron, auteur du texte",ADU1S,3295500568055,R PAS,4
La mauvaise habitude,Alana S. Portero,GLAFA,1701955012917,R POR,1
Cinq articles maximum,Claire Renaud,ADU1S,3295500854033,R RENA,4
Bonhomme,Yvan Robin,JEUM1ROMANSADOS,3295500855802,R ROB,1
"Merci, grazie, thank you","Julien Sandrel, aut.",ADU1S,3295500567979,R SAN,3
Cadeaux inestimables,Danielle Steel,ADU1S,3295500568252,R STE,1
Les errantes,Jo Witek,JEUM1ROMANSADOS,3295500849871,R WIT,6
La bataille de Pali-Kao,Béruriers Noirs,MUSVINYLE,3295500568162,R099 BER,0
Le printemps du pogo,Ludwig von 88,MUSVINYLE,3295500568160,R099 LUD,1
L'hiver des crètes,Ludwig von 88,MUSVINYLE,3295500568149,R099 LUD,1
La nuit-la-plus-claire,de Tui T. Sutherland,JEUM1BD,3295500854559,ROY 5,4
Les Sauroctones,Erwann Surcouf,JEUM1BDADOS,3295500854258,SAU 3,2
Alfie,Christopher Bouix,ADUM1SF,3295500852883,SF BOUI,4
Invocatrices,,ADUM1SF,3295500852884,SF PESN,6
Solo leveling,"[dessin], Dubu,...",MANGA,116280602,SOL 7,4
Solo leveling,"[dessin], Dubu,...",MANGA,116270602,SOL 8,4
Solo Leveling ,,MANGA,116260602,SOL 9,4
Le chemin vers Pépé,Guillaume Carayol,JEUM1BD,3295500854916,T090200,1
"Timo, l'aventurier","dessinateur, Yohan Sacré",JEUM1BD,3295500854914,TIM 1,1
Tu choisiras la vie,"Stéphane Freiss, réal.",GLAADVD,1726945012913,V FRE,0
How to be,"Oliver Irving, réal.",GLAADVD,1726885012912,V IRV,0
L'envol,"Pietro Marcello, réal.",GLAADVD,1696705012913,V MAR,2
Umami,"Slony Sow, réal.",GLAADVD,1726935012916,V SOW,0
L'inquisiteur et son ombre,"scénario, Victor Dixen",JEUM1BDADOS,3295500854246,VAM 1,4
Midnight kids,Un film de Maxence Vassilyevitch,ADU2DVD,3295500567905,xxx,0
Yo-kai watch,Noriyuki Konishi,MANGA,115980602,YOK,1
Yo-kai watch,Noriyuki Konishi,MANGA,118580602,YOK 8,0
Yo-kai watch,Noriyuki Konishi,MANGA,115970602,YOK 9,0
